Kategori: Alla kategorier

Månad,"""femicide"": (Sydafrika)"
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,3
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,15
2017-06,8
2017-07,3
2017-08,5
2017-09,4
2017-10,6
2017-11,0
2017-12,2
2018-01,4
2018-02,0
2018-03,0
2018-04,2
2018-05,20
2018-06,13
2018-07,5
2018-08,13
2018-09,5
2018-10,5
2018-11,9
2018-12,3
2019-01,4
2019-02,6
2019-03,6
2019-04,4
2019-05,10
2019-06,5
2019-07,3
2019-08,9
2019-09,100
2019-10,15
2019-11,10
2019-12,9
2020-01,8
2020-02,12
2020-03,12
2020-04,6
2020-05,8
2020-06,56
2020-07,19
2020-08,27
2020-09,20
2020-10,8
2020-11,14
2020-12,6
2021-01,6
2021-02,7
2021-03,8
2021-04,8
2021-05,16
2021-06,11
2021-07,4
2021-08,8
2021-09,8
2021-10,14
2021-11,5
2021-12,5
2022-01,5
2022-02,5
2022-03,9
2022-04,21
2022-05,17
2022-06,8
2022-07,6
2022-08,10
2022-09,5
2022-10,7
2022-11,11
2022-12,3
2023-01,4
2023-02,4
2023-03,7
2023-04,21
2023-05,17
2023-06,8
2023-07,4
2023-08,7
2023-09,4
2023-10,6
2023-11,7
2023-12,4
