Kategori: Alla kategorier

Månad,"""gender based violence"": (Sydafrika)"
2015-01,0
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,2
2015-09,1
2015-10,1
2015-11,2
2015-12,1
2016-01,0
2016-02,10
2016-03,4
2016-04,1
2016-05,2
2016-06,1
2016-07,1
2016-08,1
2016-09,2
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,1
2017-04,1
2017-05,2
2017-06,1
2017-07,1
2017-08,3
2017-09,2
2017-10,2
2017-11,2
2017-12,1
2018-01,1
2018-02,1
2018-03,2
2018-04,2
2018-05,3
2018-06,1
2018-07,2
2018-08,5
2018-09,3
2018-10,2
2018-11,4
2018-12,1
2019-01,1
2019-02,7
2019-03,3
2019-04,3
2019-05,3
2019-06,2
2019-07,2
2019-08,4
2019-09,20
2019-10,13
2019-11,6
2019-12,4
2020-01,3
2020-02,9
2020-03,9
2020-04,19
2020-05,21
2020-06,57
2020-07,37
2020-08,41
2020-09,43
2020-10,28
2020-11,18
2020-12,8
2021-01,4
2021-02,7
2021-03,16
2021-04,12
2021-05,48
2021-06,83
2021-07,19
2021-08,19
2021-09,20
2021-10,11
2021-11,14
2021-12,5
2022-01,5
2022-02,16
2022-03,26
2022-04,46
2022-05,100
2022-06,27
2022-07,12
2022-08,70
2022-09,38
2022-10,13
2022-11,14
2022-12,4
2023-01,3
2023-02,9
2023-03,13
2023-04,30
2023-05,60
2023-06,17
2023-07,8
2023-08,18
2023-09,10
2023-10,8
2023-11,12
2023-12,3
