Kategori: Alla kategorier

Månad,"""gender based violence"": (USA)"
2015-01,26
2015-02,37
2015-03,36
2015-04,44
2015-05,28
2015-06,29
2015-07,21
2015-08,13
2015-09,32
2015-10,32
2015-11,37
2015-12,34
2016-01,22
2016-02,42
2016-03,38
2016-04,47
2016-05,33
2016-06,21
2016-07,27
2016-08,19
2016-09,25
2016-10,34
2016-11,43
2016-12,29
2017-01,28
2017-02,43
2017-03,41
2017-04,46
2017-05,33
2017-06,20
2017-07,17
2017-08,24
2017-09,35
2017-10,39
2017-11,55
2017-12,32
2018-01,31
2018-02,35
2018-03,29
2018-04,44
2018-05,41
2018-06,25
2018-07,19
2018-08,24
2018-09,32
2018-10,34
2018-11,50
2018-12,33
2019-01,25
2019-02,45
2019-03,39
2019-04,52
2019-05,34
2019-06,26
2019-07,23
2019-08,22
2019-09,43
2019-10,41
2019-11,48
2019-12,38
2020-01,35
2020-02,39
2020-03,41
2020-04,44
2020-05,40
2020-06,32
2020-07,41
2020-08,31
2020-09,43
2020-10,25
2020-11,34
2020-12,23
2021-01,47
2021-02,39
2021-03,43
2021-04,48
2021-05,60
2021-06,35
2021-07,26
2021-08,25
2021-09,38
2021-10,50
2021-11,49
2021-12,35
2022-01,37
2022-02,49
2022-03,68
2022-04,100
2022-05,86
2022-06,45
2022-07,33
2022-08,48
2022-09,57
2022-10,70
2022-11,83
2022-12,56
2023-01,43
2023-02,75
2023-03,77
2023-04,87
2023-05,76
2023-06,48
2023-07,36
2023-08,36
2023-09,45
2023-10,76
2023-11,75
2023-12,71
